payment_id,reservation_id,payment_date,payment_method,amount,payment_status
PMT-CBF2CE6A1D,RES-BA355B9B3A,05-31-2026 12:00 AM,mobile_money,1397.7,Pending
PMT-F9A8A4FB80,RES-BA355B9B3A,05-03-2025 12:00 AM,cash,1488.43,paid
PMT-026CD17532,RES-624C1EEAB7,2025-05-04 00:00:00,bank_transfer,1516.96,pending
PMT-FCCE9B467B,RES-78B4A38D88,2024-05-28 00:00:00,credit_card,1311.11,SUCCESS
PMT-96864A48CF,RES-2A3A16E2B8,2026-03-19 00:00:00,bank_transfer,1728.39,success
PMT-BE1C4DB764,RES-3F8CB3ADD5,19/10/2025 00:00,mobile_money,909.04,FAILED
PMT-C3B5DB9DB0,RES-7B09B2FF55,2025-08-26 00:00:00,mobile_money,981.62,success
PMT-36D1CDBAA6,RES-6C5F3456CA,06/09/2025 00:00,bank_transfer,1423.61,Failed
PMT-1F28F1FF55,RES-7CCA3E14F3,2024-04-04 00:00:00,cash,1101.32,paid
PMT-647585B02C,RES-5797E99E3F,2025-11-12 00:00:00,paypal,498.45,Pending
PMT-A318ED64A5,RES-93161E7D9C,30/10/2024 00:00,credit_card,232.29,PENDING
PMT-DE333DD807,RES-93161E7D9C,24/08/2025 00:00,bank_transfer,1594.1,Paid
PMT-BFA6546165,RES-4E2C27C93C,2024-09-21 00:00:00,debit_card,190.2,Paid
PMT-BE29981A50,RES-FD6EB060AC,14/06/2024 00:00,credit_card,441.57,Refunded
PMT-AD82CE54CE,RES-D980051C8D,01/12/2024 00:00,credit_card,271.0,pending
PMT-9F7CCA3A9B,RES-D980051C8D,03-26-2025 12:00 AM,cash,772.41,success
PMT-0823126D24,RES-D980051C8D,2026-04-25 00:00:00,mobile_money,1553.14,pending
PMT-8EA1B7D880,RES-05168B879E,11/06/2024 00:00,mobile_money,296.9,PENDING
PMT-3C5E50F5AA,RES-18B74254AB,11-06-2025 12:00 AM,credit_card,1657.45,PENDING
PMT-3786D5F53C,RES-CAFE3B8C5A,18/03/2026 00:00,bank_transfer,144.9,Paid
PMT-7070DBC4C6,RES-CAFE3B8C5A,2025-01-22 00:00:00,bank_transfer,1409.39,REFUNDED
PMT-8F99D89746,RES-CAFE3B8C5A,12-21-2025 12:00 AM,debit_card,1704.75,PENDING
PMT-07373446C4,RES-C5755214D7,2025-11-07 00:00:00,cash,447.33,paid
PMT-FBD1528DE1,RES-DFE78CDABC,13/12/2025 00:00,cash,743.01,REFUNDED
PMT-BCEDFAA5A5,RES-406F327026,11-16-2024 12:00 AM,bank_transfer,1384.59,paid
PMT-433CA18A44,RES-57B9850FAF,2024-04-26 00:00:00,mobile_money,1047.82,success
PMT-E3630EC312,RES-57B9850FAF,2025-12-14 00:00:00,debit_card,939.18,REFUNDED
PMT-D2B0AAAE82,RES-57B9850FAF,11-06-2024 12:00 AM,credit_card,845.36,Pending
PMT-C5B4D2898A,RES-9D2240509B,11-07-2025 12:00 AM,mobile_money,1422.33,failed
PMT-66F5721B82,RES-CB93274F7B,2025-01-16 00:00:00,bank_transfer,499.95,SUCCESS
PMT-BFBB8761A1,RES-6BD4268978,07/08/2024 00:00,credit_card,274.9,SUCCESS
PMT-C75857AB2C,RES-32592156CE,2024-03-21 00:00:00,debit_card,1541.8,Refunded
PMT-59563DC13F,RES-C5B7F0BBD8,2025-10-18 00:00:00,debit_card,1302.78,paid
PMT-288F4EE1DA,RES-A7F5A8D586,07-19-2025 12:00 AM,bank_transfer,635.01,refunded
PMT-676C5D6499,RES-8C5F55A7B5,05-02-2026 12:00 AM,cash,1547.1,DECLINED
PMT-0DF1F3E21B,RES-E3C6802D8E,2024-09-07 00:00:00,credit_card,1121.8,Refunded
PMT-4133633EC6,RES-8968B1F12F,11-19-2024 12:00 AM,cash,557.28,REFUNDED
PMT-901C0F74D2,RES-A3407C27CE,2025-11-05 00:00:00,mobile_money,248.27,REFUNDED
PMT-345D7EB0C8,RES-A43A65EABE,11-25-2024 12:00 AM,bank_transfer,1403.53,Failed
PMT-0FD567FF68,RES-A43A65EABE,06-18-2026 12:00 AM,bank_transfer,274.86,PENDING
PMT-133F458654,RES-533A253706,09-23-2024 12:00 AM,cash,701.24,PAID
PMT-64C2191C69,RES-71B23056C3,17/04/2026 00:00,cash,280.55,Pending
PMT-DEBAB12A11,RES-8FCEA74E8F,06/05/2026 00:00,bank_transfer,1093.06,FAILED
PMT-7662183FF1,RES-F8219A379A,2024-02-03 00:00:00,debit_card,806.85,Failed
PMT-C51459EEA7,RES-8D619A0D27,08/12/2024 00:00,paypal,1630.68,FAILED
PMT-E675B6F945,RES-4E3C02530B,07/11/2025 00:00,mobile_money,1676.33,refunded
PMT-50B7711AB1,RES-88DF66DBFE,05/09/2025 00:00,mobile_money,59.11,Pending
PMT-3529287DF4,RES-84412E68EF,05/02/2025 00:00,credit_card,1042.46,refunded
PMT-390A9B9E24,RES-84412E68EF,2024-02-15 00:00:00,paypal,1136.66,pending
PMT-BFA1C89478,RES-84412E68EF,12-15-2025 12:00 AM,paypal,1473.99,PAID
PMT-5796747529,RES-63F1AD8F5D,02-27-2025 12:00 AM,debit_card,1739.37,SUCCESS
