property_id,property_name,city,country
1,GrandVista Lake Derekmouth Resort,Kristenshire,Guinea-Bissau
2,GrandVista North Ericchester Hotel,North Luismouth,Croatia
3,GrandVista West Tammy Resort,Scottmouth,Antigua and Barbuda
4,GrandVista Campbellfort Hotel,Port Scottborough,Tanzania
5,GrandVista South Brooke Hotel,West Jeanetteshire,Peru
6,GrandVista Dawnbury Suites,North Alecfurt,France
7,GrandVista West Kendra Resort,East Hannahshire,British Indian Ocean Territory (Chagos Archipelago)
8,GrandVista West Michaelton Plaza,South Brandon,New Zealand
9,GrandVista Calebside Resort,Courtneyville,Zimbabwe
10,GrandVista Lake Matthew Hotel,New Michael,Senegal
11,GrandVista West Gina Hotel,Dwaynestad,Iceland
12,GrandVista North Brianfort Resort,Lake Andrewshire,Japan
13,GrandVista North Amymouth Suites,Bakerbury,Lesotho
14,GrandVista Heatherberg Plaza,Lake James,Thailand
15,GrandVista Kristopherstad Suites,North Aaron,Liechtenstein
