reservation_id,guest_id,property_id,room_id,check_in_date,check_out_date,booking_status,booking_date
RES-0D1C20CD50,825,2,46,2026-02-14,2026/02/17,checked_out,2026-01-11 00:00:00
RES-8273E3308B,172,14,564,2024-07-06,2024-07-16,CNF,05-26-2024 12:00 AM
RES-6E02C250F2,984,14,569,26/09/2025,10-04-2025,canceled,2025-07-30 00:00:00
RES-A053F76983,92,9,368,2025/07/30,01-Aug-2025,cancelled,2025-07-11 00:00:00
RES-4409343E2C,463,7,286,13-Mar-2025,15/03/2025,cancelled,28/01/2025 00:00
RES-B441D6B234,174,6,256,21-Sep-2025,2025/09/24,CANCELLED,2025-09-11 00:00:00
RES-7B2850241E,588,15,653,22-Jun-2026,06-27-2026,pending,2026-06-15 00:00:00
RES-8F15830885,301,14,578,25-Jun-2024,2024-07-03,Checked Out,2024-05-31 00:00:00
RES-1A41A34512,789,2,37,24-Dec-2024,31-Dec-2024,PENDING,2024-11-22 00:00:00
RES-7B3B8D4AB2,1126,13,529,2025/08/09,2025/08/17,checked_out,07-05-2025 12:00 AM
RES-65D960933E,450,12,509,2024-04-15,21/04/2024,CONFIRMED,03-30-2024 12:00 AM
RES-F13D82064E,716,8,310,07-13-2026,16-Jul-2026,NOSHOW,2026-05-19 00:00:00
RES-6578E32AC0,241,4,141,2025-12-31,07-Jan-2026,pending,12-21-2025 12:00 AM
RES-7DE9F21E48,324,10,420,2024-06-23,26/06/2024,NOSHOW,2024-05-30 00:00:00
RES-9AE0DD1E4A,614,13,522,13-Apr-2025,2025-04-19,cancelled,02-25-2025 12:00 AM
RES-0167E96A86,23,1,12,2026/05/30,06-07-2026,No Show,05-02-2026 12:00 AM
RES-65C739CF3E,189,4,148,30-Jan-2025,2025/02/03,checked-out,01-21-2025 12:00 AM
RES-6558B3E62E,960,9,365,28-Dec-2024,04/01/2025,CHECKED_IN,2024-11-16 00:00:00
RES-C69C568E9C,688,5,184,2024/09/21,2024-09-24,no_show,02/09/2024 00:00
RES-838A81133C,175,4,140,04-Aug-2025,2025-08-14,CONFIRMED,2025-08-01 00:00:00
RES-97387E52DD,645,6,258,23/03/2025,2025-03-29,pending,02-04-2025 12:00 AM
RES-2120045C81,783,13,515,10-18-2025,19/10/2025,checked_out,08-23-2025 12:00 AM
RES-DEE910CD9F,289,2,40,2026/01/16,2026/01/25,CHECKED_IN,2026-01-05 00:00:00
RES-64A2BB9D1E,883,6,265,16/08/2026,23/08/2026,no_show,2026-07-01 00:00:00
RES-CD78F76D46,31,10,409,2026/04/20,2026-04-25,Checked Out,2026-02-23 00:00:00
RES-3C690669FF,745,15,638,06-Apr-2024,04-09-2024,CHECKED_IN,04-01-2024 12:00 AM
RES-D1D78E0B3C,1000,15,641,03-Mar-2025,08-Mar-2025,Pending,07/01/2025 00:00
RES-5FC6734A09,766,6,265,26-Dec-2025,01-04-2026,pending,11-29-2025 12:00 AM
RES-CA133FAD29,1149,11,471,08-01-2024,03-Aug-2024,checked_out,2024-06-07 00:00:00
RES-0C12F1A899,955,7,296,2025-11-23,2025-12-01,conf,19/10/2025 00:00
RES-4B16AB13D2,996,4,142,2026-02-06,02-14-2026,no-show,20/12/2025 00:00
RES-AA30C976B6,1232,3,103,28-Jan-2025,03-Feb-2025,cancelled,01-24-2025 12:00 AM
RES-80CAF71573,291,7,295,11-02-2024,04-Nov-2024,no-show,10-07-2024 12:00 AM
RES-D8088B7CC5,878,15,687,01/11/2026,06/11/2026,CHECKED_OUT,13/09/2026 00:00
RES-5E698023C1,895,9,371,06-Sep-2026,2026-09-16,no-show,2026-07-23 00:00:00
RES-0C6FEA02A6,649,12,512,31/07/2024,08-Aug-2024,conf,03/06/2024 00:00
RES-F1691BE8EA,258,9,389,2025-05-16,2025-05-26,CANCELLED,04-05-2025 12:00 AM
RES-56E5BEF9A3,430,9,385,2026-11-05,11-15-2026,CONFIRMED,22/09/2026 00:00
RES-F6B55F116D,934,9,368,2025/03/19,25-Mar-2025,checked_in,2025-02-24 00:00:00
RES-85F219B323,334,8,314,16-Apr-2025,04-21-2025,confirmed,2025-03-22 00:00:00
RES-08D2689CA5,213,2,52,2026/03/27,2026-04-06,NS,2026-02-06 00:00:00
RES-B1AB45D57C,932,11,447,02-Feb-2025,2025-02-06,CHECKED_OUT,01-25-2025 12:00 AM
RES-4A14A4E48D,768,12,498,06-22-2025,06-27-2025,checked-out,2025-06-03 00:00:00
RES-FCE98AD55C,315,15,636,2026/07/02,07-11-2026,NOSHOW,2026-05-10 00:00:00
RES-12E24E85A4,806,9,373,30-May-2026,09/06/2026,checked-out,31/03/2026 00:00
RES-065FAAC1C5,204,15,644,2026-04-09,2026/04/18,PENDING,03-31-2026 12:00 AM
RES-E29F546595,53,3,89,22/02/2024,2024-03-03,no_show,01-12-2024 12:00 AM
RES-ED072AD292,930,7,298,27/11/2025,03/12/2025,Cancelled,2025-10-08 00:00:00
RES-D92C9B3458,106,9,385,2024-05-24,2024/05/27,conf,03-25-2024 12:00 AM
RES-AA21B19426,370,2,42,21/04/2024,27-Apr-2024,conf,2024-03-20 00:00:00
RES-3D8389D245,860,8,307,21/07/2026,29/07/2026,CXL,06-30-2026 12:00 AM
RES-94F6CD9313,711,10,397,2025-10-29,07/11/2025,checked_in,2025-09-20 00:00:00
RES-72ECFFC21A,313,10,394,30/06/2026,2026-07-02,cancelled,06-06-2026 12:00 AM
RES-7A9A844517,409,12,490,02-06-2025,15-Feb-2025,CHECKED_OUT,12-22-2024 12:00 AM
RES-719D20E9AF,576,7,283,05-23-2024,02/06/2024,PND,15/04/2024 00:00
RES-F451675CDA,653,15,672,29-May-2024,05/06/2024,checked_in,20/04/2024 00:00
RES-084BDDD658,840,3,128,11-02-2025,11-Nov-2025,Cancelled,10/09/2025 00:00
RES-D6A7B3E394,762,13,529,2024-07-17,2024-07-23,CONFIRMED,2024-05-28 00:00:00
