room_id,property_id,room_type,capacity
1,1,Deluxe,3
2,1,Deluxe,6
3,1,Standard,2
4,1,Penthouse,4
5,1,Executive,6
6,1,Suite,2
7,1,Suite,2
8,1,Penthouse,1
9,1,Family,3
10,1,Penthouse,2
11,1,Standard,2
12,1,Penthouse,2
13,1,Suite,2
14,1,Deluxe,4
15,1,Standard,6
16,1,Deluxe,6
17,1,Penthouse,6
18,1,Deluxe,4
19,1,Executive,4
20,1,Suite,2
21,1,Executive,6
22,1,Standard,1
23,1,Executive,1
24,1,Deluxe,1
25,1,Penthouse,2
26,1,Deluxe,2
27,1,Standard,2
28,1,Family,4
29,1,Deluxe,2
30,1,Family,1
31,1,Executive,6
32,1,Executive,2
33,2,Penthouse,2
34,2,Deluxe,3
35,2,Deluxe,4
36,2,Deluxe,2
37,2,Suite,4
38,2,Executive,6
39,2,Deluxe,2
40,2,Executive,1
41,2,Suite,3
42,2,Executive,2
43,2,Executive,3
44,2,Executive,4
45,2,Family,6
46,2,Executive,2
47,2,Executive,1
48,2,Executive,3
49,2,Standard,2
50,2,Family,4
51,2,Deluxe,4
52,2,Penthouse,2
53,2,Suite,3
54,2,Executive,2
55,2,Executive,2
56,2,Executive,4
57,2,Family,3
58,2,Standard,2
59,2,Deluxe,6
60,2,Executive,2
61,2,Deluxe,2
62,2,Standard,1
63,3,Family,6
64,3,Penthouse,2
65,3,Executive,3
66,3,Executive,3
67,3,Penthouse,2
68,3,Executive,3
69,3,Suite,6
70,3,Family,1
71,3,Executive,1
72,3,Standard,3
73,3,Family,2
74,3,Deluxe,3
75,3,Suite,6
76,3,Suite,4
77,3,Penthouse,3
78,3,Penthouse,6
79,3,Suite,6
80,3,Standard,6
81,3,Executive,3
82,3,Penthouse,2
83,3,Deluxe,3
84,3,Standard,2
85,3,Penthouse,6
86,3,Penthouse,1
87,3,Penthouse,6
88,3,Penthouse,2
89,3,Suite,4
90,3,Executive,6
91,3,Deluxe,2
92,3,Deluxe,4
93,3,Family,6
94,3,Deluxe,1
95,3,Standard,1
96,3,Penthouse,6
97,3,Executive,3
98,3,Penthouse,4
99,3,Standard,4
100,3,Deluxe,3
101,3,Deluxe,3
102,3,Suite,6
103,3,Suite,4
104,3,Family,6
105,3,Executive,4
106,3,Suite,6
107,3,Executive,6
108,3,Standard,1
109,3,Penthouse,4
110,3,Suite,2
111,3,Suite,6
112,3,Deluxe,6
113,3,Executive,6
114,3,Suite,1
115,3,Deluxe,3
116,3,Standard,1
117,3,Standard,6
118,3,Executive,4
119,3,Executive,6
120,3,Suite,6
121,3,Executive,2
122,3,Deluxe,2
123,3,Deluxe,6
124,3,Deluxe,2
125,3,Executive,2
126,3,Family,1
127,3,Executive,4
128,3,Deluxe,2
129,3,Deluxe,1
130,3,Penthouse,2
131,3,Deluxe,2
132,3,Executive,3
133,3,Penthouse,4
134,3,Standard,6
135,3,Deluxe,1
136,3,Suite,1
137,3,Executive,1
138,4,Standard,2
139,4,Standard,4
140,4,Deluxe,3
141,4,Executive,6
142,4,Standard,1
143,4,Standard,2
144,4,Standard,6
145,4,Family,1
146,4,Standard,2
147,4,Family,1
148,4,Executive,4
149,4,Family,2
150,4,Executive,3
151,4,Suite,4
152,4,Executive,2
153,4,Suite,6
154,4,Suite,2
